Day	Phase	Topic	Problem Title	Problem Statement (Do this today)	Key Concepts	Deliverable	Status	Time Spent (mins)	Difficulty	Confidence (1-5)	Notes / What I learned	Next Action
85	Phase 3: AWS & boto3 Ownership	Secrets	Secrets Manager Rotation Checker	Given list of secrets with LastRotatedDate and RotationEnabled, flag: - RotationEnabled=False (HIGH) - RotationEnabled=True but last rotated > 60 days (MEDIUM) Output CSV report.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day085_secrets_rotation.py	Not started		Easy			
86	Phase 3: AWS & boto3 Ownership	CI/CD	Deployment Window Validator	Given subscription_window with start/end timestamps and a request timestamp, validate request is inside the window. Return ALLOW or DENY with reason. Include timezone-safe parsing with datetime.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day086_deploy_window.py	Not started		Medium			
87	Phase 3: AWS & boto3 Ownership	Terraform	Terraform Plan Diff Summarizer (text)	Given terraform plan text (fixture), count: - resources to add/change/destroy - list resource types changed most Output short summary (like a PR comment).	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day087_tf_plan_summary.py	Not started		Medium			
88	Phase 3: AWS & boto3 Ownership	CloudTrail	CloudTrail Event Filter	Given CloudTrail events JSON (fixture), filter events for: - ConsoleLogin failures - Delete* actions Output summary counts per user and top 5 risky actions.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day088_cloudtrail_filter.py	Not started		Medium			
89	Phase 3: AWS & boto3 Ownership	Review	AWS Tool Refactor + Tests	Pick any TWO AWS tasks from Days 61–88 and: - refactor into modules - add pytest tests for pure logic portions - add logging, no prints in logic Write README usage examples.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day089_review_refactor_tests/	Not started		Hard			
90	Phase 3: AWS & boto3 Ownership	Mini Project	AWS Cost Hygiene Toolkit v1	Create a cohesive CLI `aws_hygiene` with subcommands: - idle (Day81 rules) - tags (Day65) - key-age (Day78) All use shared modules, structured logs, JSON output option, and exit codes. Provide README with examples.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day090_aws_hygiene_toolkit/	Not started		Hard			
91	Phase 4: Reliability & Performance	Complexity	Benchmark list vs set membership	Create 1,000,000 integers and compare membership test times for: - list (x in list) - set  (x in set) Use time.perf_counter(). Print timings and a short takeaway paragraph in comments.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day091_membership_bench.py	Not started		Easy			
92	Phase 4: Reliability & Performance	Backoff	Exponential backoff function	Implement backoff(attempt, base=0.2, factor=2.0, jitter=0.1)->seconds. Rules: attempt starts at 1; seconds = base * factor**(attempt-1) plus random jitter in [-jitter,+jitter]. Write 10 asserts for bounds (use fixed seed).	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day092_backoff.py	Not started		Medium			
93	Phase 4: Reliability & Performance	Retries	Retry wrapper with classification	Implement retry_call(fn, attempts, is_retryable_exception)->result. Only retry on retryable exceptions; otherwise raise immediately. Add demo fn that raises TimeoutError twice then succeeds.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day093_retry_wrapper.py	Not started		Medium			
94	Phase 4: Reliability & Performance	Circuit breaker	Circuit breaker class	Implement CircuitBreaker: - states: CLOSED, OPEN, HALF_OPEN - opens after N failures - after cooldown seconds, allows one trial (HALF_OPEN) - success closes, failure opens again Write a simulation showing transitions with printed state changes.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day094_circuit_breaker.py	Not started		Hard			
95	Phase 4: Reliability & Performance	Rate limiting	Token bucket limiter	Implement TokenBucket(rate_per_sec, capacity). Method allow()->bool. Simulate 100 requests over time and show allowed vs blocked count.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day095_token_bucket.py	Not started		Hard			
96	Phase 4: Reliability & Performance	Streaming	Process large file line-by-line	Generate a large file (>=200k lines) of fake logs, then stream-process to compute: - total lines - error lines - top 5 services by error count Do not load entire file into memory.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day096_streaming_logs.py	Not started		Medium			
97	Phase 4: Reliability & Performance	Threading	Parallel health checks (ThreadPoolExecutor)	Given a list of 50 fake endpoints, simulate check() with random sleep and status. Run checks concurrently with ThreadPoolExecutor, enforce per-check timeout, and output summary table.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	08_concurrency_async/day097_parallel_checks.py	Not started		Hard			
98	Phase 4: Reliability & Performance	Thread safety	Race condition demo + fix	Create shared counter incremented by 10 threads (10000 increments each). Show incorrect total without lock, then correct total with threading.Lock. Explain why race happens in comment.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	08_concurrency_async/day098_race_condition.py	Not started		Medium			
99	Phase 4: Reliability & Performance	Multiprocessing	CPU-bound parallelism test	Compute primes up to N using: - single process - ProcessPoolExecutor splitting ranges Measure time and compare. Explain when processes help vs threads.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	08_concurrency_async/day099_process_pool_primes.py	Not started		Hard			
100	Phase 4: Reliability & Performance	Timeouts	Timeout decorator (best-effort)	Implement run_with_timeout(fn, timeout_s)->(ok, result_or_error). Use ThreadPoolExecutor future.result(timeout=...). Return ok=False on TimeoutError. Demonstrate with slow and fast functions.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day100_timeout_wrapper.py	Not started		Medium			
101	Phase 4: Reliability & Performance	Async	asyncio gather demo	Write async fetch_sim(url) that awaits random sleep and returns dict {url,status,ms}. Run 30 URLs concurrently with asyncio.gather and print summary of statuses.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	08_concurrency_async/day101_async_gather.py	Not started		Medium			
102	Phase 4: Reliability & Performance	Async queue	Producer/consumer pipeline	Use asyncio.Queue with: - producer reads lines from file and enqueues - 5 consumers parse and count ERROR lines Stop cleanly with sentinel. Print final count.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	08_concurrency_async/day102_async_queue_pipeline.py	Not started		Hard			
103	Phase 4: Reliability & Performance	Caching	TTL cache for expensive calls	Implement TTLCache(getter, ttl_s). If cached value not expired, return cached. Demo using a getter that increments a counter (expensive) and show cache hits/misses.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day103_ttl_cache.py	Not started		Medium			
104	Phase 4: Reliability & Performance	Pagination	Robust page token design	Implement encode_token(index:int)->str and decode_token(token:str)->int. Token should be base64 of index with basic validation. Use in paginate(items,page_size,token). Add tests for invalid tokens.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day104_pagination_tokens.py	Not started		Medium			
105	Phase 4: Reliability & Performance	Observability	Structured event timing context manager	Create context manager `timer(name, logger=None)` that measures elapsed_ms. On exit, logs/returns elapsed. Demo wrapping 3 functions and printing timings.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day105_timer_cm.py	Not started		Easy			
106	Phase 4: Reliability & Performance	Mini project	SRE runner: parallel + retry + backoff	Build a CLI tool `sre_run.py --targets targets.txt` that: - runs checks in parallel - retries failures with exponential backoff - produces JSON summary (successes, failures, avg_ms, p95_ms) - exits 0 if all ok else 1 Use only simulated checks (no network needed).	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day106_sre_runner/	Not started		Hard			
107	Phase 4: Reliability & Performance	Testing	pytest for reliability primitives	Add pytest tests for backoff(), retry_call(), token encode/decode. Use deterministic randomness (seed) and cover edge cases.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day107_reliability_tests/	Not started		Medium			
108	Phase 4: Reliability & Performance	Profiling	cProfile a slow function	Create a deliberately slow function (nested loops). Profile it with cProfile and print top 10 functions by cumulative time. Add a comment summarizing what you learned.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day108_cprofile_demo.py	Not started		Easy			
109	Phase 4: Reliability & Performance	Load test	Simple load generator	Write a load generator that calls a local function 5000 times with random inputs and measures: avg, min, max, p95 latency (ms). Output results to a text file.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day109_load_gen.py	Not started		Medium			
110	Phase 4: Reliability & Performance	Resilience	Bulkhead isolation simulation	Simulate two pools: critical and non-critical tasks. Non-critical tasks should never starve critical tasks. Implement using two ThreadPoolExecutors and show results.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day110_bulkhead.py	Not started		Hard			
111	Phase 4: Reliability & Performance	Review	Rewrite one reliability tool from memory	Pick Day106 sre_runner or Day097 parallel checks and rewrite it from scratch without looking. Then compare to original and list 5 improvements.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day111_review_rewrite.py	Not started		Hard			
112	Phase 4: Reliability & Performance	Docs	Write OPERATIONS.md for reliability tools	Write OPERATIONS.md describing: - how to run tools - config/env vars - failure modes - how to debug using logs - how to run tests	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day112_operations_doc/OPERATIONS.md	Not started		Easy			
113	Phase 4: Reliability & Performance	Optimization	Memory usage reduction	Take streaming log tool and reduce memory: - avoid storing full messages - keep only top-N counters Measure runtime and approximate memory by object counts; write PERF_NOTES.md.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day113_memory_opt/	Not started		Hard			
114	Phase 4: Reliability & Performance	Error taxonomy	Standard error codes	Define error codes for your tools (FILE_NOT_FOUND, BAD_INPUT, TIMEOUT, AWS_AUTH, UNKNOWN). Implement helper to format errors consistently as JSON. Refactor 2 tools to use this helper.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day114_error_codes/	Not started		Medium			
115	Phase 4: Reliability & Performance	Mini project	Incident replay parser	Given an incident timeline file (timestamp,event_type,details), reconstruct: - start time, end time, duration - impacted services list - count of retries/timeouts Output a human-readable incident summary and a JSON artifact.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day115_incident_replay/	Not started		Hard			
116	Phase 4: Reliability & Performance	CI	Add GitHub Actions for reliability suite	Create a GitHub Actions workflow that runs pytest and uploads artifacts (reports) on failure. Include python 3.12 and cache pip.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day116_ci_actions/	Not started		Medium			
117	Phase 4: Reliability & Performance	Refactor	Library extraction	Extract common utilities into `devops_lib`: - logging - error formatting - config loader - timer Update 3 tools to import from devops_lib.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day117_devops_lib/	Not started		Hard			
118	Phase 4: Reliability & Performance	Packaging	Build a pip-installable package (local)	Add pyproject.toml so your devops_lib can be installed with pip -e . Write README showing install and usage.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day118_packaging/	Not started		Medium			
119	Phase 4: Reliability & Performance	Review	Add type hints + mypy notes	Add type hints to devops_lib public functions. Write MYPY_NOTES.md describing benefits and what types were tricky.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day119_typing/	Not started		Medium			
120	Phase 4: Reliability & Performance	Phase review	Reliability showcase README	Write a README section summarizing the reliability patterns you implemented with links to days/files and short descriptions.	timeouts, retries, backoff, circuit breaker, concurrency, async, streaming	07_reliability_patterns/day120_phase_review/README.md	Not started		Easy			
121	Phase 5: API, CI/CD & AI-era Skills	HTTP	Parse raw HTTP request	Parse a raw HTTP request string into: method, path, headers dict, body. Handle missing body, repeated headers (keep last), and whitespace. Provide demo input as multiline string in code.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day121_http_parser.py	Not started		Medium			
122	Phase 5: API, CI/CD & AI-era Skills	REST	Write API spec for internal tool	Write api_spec.md for an internal DevOps API with endpoints: /health, /resources, /cost/idle, /deployments/validate Include request/response examples and status codes.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day122_api_spec/api_spec.md	Not started		Easy			
123	Phase 5: API, CI/CD & AI-era Skills	FastAPI	FastAPI: health + version	Create FastAPI app with: GET /health -> {status:'ok'} GET /version -> {version:'0.1.0', env:APP_ENV} Use pydantic Settings with env defaults. Include run instructions in README.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day123_fastapi_health/	Not started		Medium			
124	Phase 5: API, CI/CD & AI-era Skills	FastAPI	CRUD: in-memory tasks	Implement endpoints: POST /tasks, GET /tasks, GET /tasks/{id} Use in-memory store (dict). Use pydantic model with validation. Return 201 on create, 404 on missing.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day124_tasks_crud/	Not started		Hard			
125	Phase 5: API, CI/CD & AI-era Skills	FastAPI	Add update + delete + pagination	Add PUT /tasks/{id}, DELETE /tasks/{id}. Add pagination to GET /tasks: page_size, page_token using your token helpers. Return {'items':..., 'next':...}.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day125_tasks_pagination/	Not started		Hard			
126	Phase 5: API, CI/CD & AI-era Skills	Errors	Consistent error format	Implement exception handlers so errors always return: {'error': {'code':'...', 'message':'...', 'request_id':'...'}} Add NotFoundError and ValidationError mapping.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day126_error_format/	Not started		Hard			
127	Phase 5: API, CI/CD & AI-era Skills	Middleware	Request ID + timing middleware	Add middleware: - generate request_id - add X-Request-Id header - log method/path/status/duration_ms/request_id Use structured logging helper from devops_lib.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day127_middleware/	Not started		Hard			
128	Phase 5: API, CI/CD & AI-era Skills	Auth	Token header check	Add simple auth dependency: Require header X-API-Token equals env API_TOKEN. If missing/wrong -> 401 with consistent error format. Add tests for authorized/unauthorized.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day128_auth/	Not started		Hard			
129	Phase 5: API, CI/CD & AI-era Skills	Testing	TestClient suite	Write pytest tests using FastAPI TestClient for: - create task - get task - pagination - auth failure - validation failure Aim for 15+ tests, keep readable.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day129_tests/	Not started		Hard			
130	Phase 5: API, CI/CD & AI-era Skills	CI/CD	Create release helper script	Write script release_notes.py that: - reads git log last N commits - groups by prefix 'Day' and 'Fix' and 'Refactor' - writes RELEASE_NOTES.md If git not available, accept a text file as input fallback.	FastAPI, pytest, design, refactor, CI, code review	06_ci_cd_helpers/day130_release_notes.py	Not started		Medium			
131	Phase 5: API, CI/CD & AI-era Skills	CI/CD	GitHub Actions: test + lint	Add workflow: - install deps - run pytest - run a basic formatter check (python -m compileall + optional ruff if you choose) Fail build on errors. Add badge to README.	FastAPI, pytest, design, refactor, CI, code review	06_ci_cd_helpers/day131_actions_ci/	Not started		Medium			
132	Phase 5: API, CI/CD & AI-era Skills	Quality	Refactor one messy script	Pick one older script (Phase 1 or 2) and refactor into: - pure functions - type hints - docstrings - tests Write REFAC_NOTES.md describing improvements.	FastAPI, pytest, design, refactor, CI, code review	10_final_projects/day132_refactor_one/	Not started		Medium			
133	Phase 5: API, CI/CD & AI-era Skills	AI-era	Review AI-generated code	Generate (or paste) a short AI-produced script (20–40 lines) in a file `ai_input.py`. Task: - identify 10 issues (style, bugs, edge cases, security) - produce fixed version `ai_fixed.py` - write REVIEW.md listing issues and fixes. (If you don’t want to generate new code, use an old script as 'ai_input'.)	FastAPI, pytest, design, refactor, CI, code review	10_final_projects/day133_ai_code_review/	Not started		Medium			
134	Phase 5: API, CI/CD & AI-era Skills	Docs	Write a strong repo README	Write README.md with: - what this repo is - how to run examples - folder index by phase - how you practiced daily - your focus areas (AWS/CI/CD/cost/SRE)	FastAPI, pytest, design, refactor, CI, code review	10_final_projects/day134_repo_readme/README.md	Not started		Easy			
135	Phase 5: API, CI/CD & AI-era Skills	API Ops	Add /metrics endpoint	Add endpoint /metrics returning counters: - total_requests - errors_count - avg_latency_ms (rolling) Implement safely (thread-safe) and add tests.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day135_metrics_endpoint/	Not started		Hard			
136	Phase 5: API, CI/CD & AI-era Skills	Persistence	Persist tasks to JSON file	Extend tasks API to persist store to tasks.json on every write (create/update/delete). On startup, load file if exists. Handle file errors with consistent error format. Add tests using tmp_path.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day136_persist_json/	Not started		Hard			
137	Phase 5: API, CI/CD & AI-era Skills	Perf	Simple load test for API	Write script that calls GET /tasks 500 times using TestClient or requests. Compute avg/min/max/p95 latency and write results to PERF_RESULTS.txt.	FastAPI, pytest, design, refactor, CI, code review	10_final_projects/day137_api_load_test.py	Not started		Medium			
138	Phase 5: API, CI/CD & AI-era Skills	Security	Secrets redaction in API logs	Ensure request/response logging never logs: - Authorization/X-API-Token - any field named password/token/secret Implement redaction and add tests.	FastAPI, pytest, design, refactor, CI, code review	09_api_services/day138_log_redaction/	Not started		Hard			
139	Phase 5: API, CI/CD & AI-era Skills	Final Project	DevOps Audit Service v1	Final build: Create a small FastAPI service with endpoints: - /health - /audit/tags (accept JSON resources list; returns missing tags) - /audit/keys (accept list of access keys; returns age flags) - /audit/idle (accept utilization list; returns idle candidates) Requirements: - consistent error format - request_id middleware - structured logs - pytest tests (>=20) - README with curl examples	FastAPI, pytest, design, refactor, CI, code review	10_final_projects/day139_devops_audit_service/	Not started		Hard			
140	Phase 5: API, CI/CD & AI-era Skills	Wrap-up	Self Review + Next 30 days	Write SELF_REVIEW.md: - top 10 problems you’re proud of - what still makes you google - what patterns you now understand (retries, pagination, logging, tests) - next 30-day plan (focus areas + project ideas) Link to best files in repo.	FastAPI, pytest, design, refactor, CI, code review	10_final_projects/day140_self_review/SELF_REVIEW.md	Not started		Easy			
141	Phase 5: API, CI/CD & AI-era Skills	CI/CD	PR Comment Generator for Terraform	Write tf_pr_comment.py that takes terraform plan summary (Day87 style) and prints a markdown PR comment with: - add/change/destroy counts - top resource types touched - risk label (LOW/MED/HIGH) based on destroy count Include unit tests for parser.	FastAPI, pytest, design, refactor, CI, code review	06_ci_cd_helpers/day141_tf_pr_comment.py	Not started		Medium			
142	Phase 5: API, CI/CD & AI-era Skills	DevOps	Dockerfile Linter (basic)	Implement a simple Dockerfile linter that flags: - use of latest tag in FROM - missing USER directive - apt-get without cleanup Input: Dockerfile text. Output list of warnings.	FastAPI, pytest, design, refactor, CI, code review	06_ci_cd_helpers/day142_dockerfile_linter.py	Not started		Medium			
143	Phase 5: API, CI/CD & AI-era Skills	Git	Git Branch Cleanup Helper	Write a script that lists local git branches merged into main and suggests delete commands. If git unavailable, parse a provided `git branch --merged` output text fixture.	FastAPI, pytest, design, refactor, CI, code review	06_ci_cd_helpers/day143_git_cleanup.py	Not started		Easy			
144	Phase 5: API, CI/CD & AI-era Skills	Ops	SLO Burn Rate Calculator	Given SLO target (e.g., 99.9%), window size, and error count, compute burn rate. Output burn rate and whether it breaches thresholds (1x, 2x, 5x). Include examples.	FastAPI, pytest, design, refactor, CI, code review	07_reliability_patterns/day144_slo_burn_rate.py	Not started		Medium			
145	Phase 5: API, CI/CD & AI-era Skills	K8s	kubectl Output Parser (pods)	Given `kubectl get pods -o wide` output (text fixture), parse into structured list with: name, ready, status, restarts, age, node. Output top 5 pods by restarts and flag CrashLoopBackOff.	FastAPI, pytest, design, refactor, CI, code review	04_automation_patterns/day145_kubectl_pods_parser.py	Not started		Medium			
146	Phase 5: API, CI/CD & AI-era Skills	EKS	EKS Nodegroup Cost Estimator (toy)	Given nodegroup config: instance_type, desired/min/max, on_demand_price_per_hour (provided), estimate monthly cost for desired and max. Output table and recommendation.	FastAPI, pytest, design, refactor, CI, code review	05_aws_boto3/day146_eks_nodegroup_cost.py	Not started		Medium			
147	Phase 5: API, CI/CD & AI-era Skills	AI-era	Prompt-to-Code Validation Checklist	Write CHECKLIST.md that you will use when you copy AI code: - security checks - input validation - error handling - logging - tests Include 20 items and short explanations.	FastAPI, pytest, design, refactor, CI, code review	10_final_projects/day147_ai_checklist/CHECKLIST.md	Not started		Easy			
148	Phase 5: API, CI/CD & AI-era Skills	Testing	Property-based testing (optional)	Use hypothesis (if you want) OR write your own random tests to validate: - encode/decode token roundtrip - dedupe_preserve correctness - redact secrets never leaks original tokens Document approach in TEST_STRATEGY.md.	FastAPI, pytest, design, refactor, CI, code review	03_cli_tools/day148_property_tests/	Not started		Hard			
149	Phase 5: API, CI/CD & AI-era Skills	Refactor	Monorepo tool index	Create a top-level CLI `toolbox.py` that lists available tools and routes to them (like a dispatcher). It should print help, show examples, and allow `python toolbox.py <tool> ...`.	FastAPI, pytest, design, refactor, CI, code review	10_final_projects/day149_toolbox_dispatcher/	Not started		Hard			
150	Phase 5: API, CI/CD & AI-era Skills	Finalize	Tag a v1.0 Release Candidate	Create RELEASE.md describing v1.0 scope, how to run CI, how to run the API service, and what’s coming next. Optionally create a git tag locally (document steps).	FastAPI, pytest, design, refactor, CI, code review	10_final_projects/day150_release/RELEASE.md	Not started		Easy			
